 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: vagues.in   
  NUMBER OF POINTS IN SERIES:        10335
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    2097.802      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   118    0.0320    0.8120     0.0229         -0.0091
   119    0.0530    0.6090     0.0419         -0.0111
   120    0.0220    0.8120     0.0029         -0.0191
   121    0.0460    1.0150     0.0199         -0.0261
   122    0.0730    0.6090     0.0309         -0.0421
   123    0.0840    1.4210     0.0419         -0.0421
   124    0.0350    0.6090     0.0069         -0.0281
   125    0.0470    0.4060     0.0189         -0.0281
   126    0.0600    1.4210     0.0359         -0.0241
   127    0.0340    1.0150     0.0099         -0.0241
   128    0.0270    0.6090     0.0239         -0.0031
   129    0.0700    0.6090     0.0269         -0.0431
   130    0.0830    1.6240     0.0399         -0.0431
   131    0.0450    0.8120     0.0069         -0.0381
   132    0.0540    1.4210     0.0449         -0.0091
   133    0.0430    0.6090     0.0049         -0.0381
   134    0.0710    0.6090     0.0329         -0.0381
   135    0.0340    1.2180     0.0229         -0.0111
   136    0.0320    0.6090     0.0209         -0.0111
   137    0.0390    1.0150     0.0229         -0.0161
   138    0.0340    0.4060     0.0179         -0.0161
   139    0.0290    0.6090     0.0129         -0.0161
   140    0.0590    0.6090     0.0439         -0.0151
   141    0.0460    0.6090     0.0259         -0.0201
   142    0.0360    0.6090     0.0079         -0.0281
   143    0.0530    1.6240     0.0249         -0.0281
   144    0.0440    1.0150     0.0389         -0.0051
   145    0.0460    0.4060     0.0149         -0.0311
   146    0.0520    0.8120     0.0209         -0.0311
   147    0.0480    0.6090     0.0329         -0.0151
   148    0.0640    1.2180     0.0279         -0.0361
   149    0.0950    0.8120     0.0729         -0.0221
   150    0.0520    0.6090     0.0229         -0.0291
   151    0.0340    0.8120     0.0049         -0.0291
   152    0.0510    0.6090     0.0349         -0.0161
   153    0.0770    0.8120     0.0349         -0.0421
   154    0.0980    0.8120     0.0559         -0.0421
   155    0.0330    1.0150     0.0059         -0.0271
   156    0.0130    0.4060     0.0039         -0.0091
   157    0.0980    0.8120     0.0919         -0.0061
   158    0.0430    0.6090     0.0029         -0.0401
   159    0.0910    1.6240     0.0409         -0.0501
   160    0.0790    2.0300     0.0389         -0.0401
   161    0.0740    1.4210     0.0379         -0.0361
   162    0.0590    0.4060     0.0229         -0.0361
   163    0.0300    0.4060     0.0069         -0.0231
   164    0.0840    1.0150     0.0569         -0.0271
   165    0.0380    0.6090     0.0019         -0.0361
   166    0.0590    1.4210     0.0349         -0.0241
   167    0.1060    2.0300     0.0729         -0.0331
   168    0.0620    1.6240     0.0419         -0.0201
   169    0.0320    1.4210     0.0179         -0.0141
   170    0.0150    0.4060     0.0009         -0.0141
   171    0.0580    0.8120     0.0299         -0.0281
   172    0.0360    0.6090     0.0029         -0.0331
   173    0.1380    1.2180     0.0799         -0.0581
   174    0.0900    0.6090     0.0319         -0.0581
   175    0.0770    1.2180     0.0509         -0.0261
   176    0.0380    0.8120     0.0219         -0.0161
   177    0.0610    1.0150     0.0309         -0.0301
   178    0.0850    1.6240     0.0529         -0.0321
   179    0.0700    1.4210     0.0379         -0.0321
   180    0.0270    0.4060     0.0069         -0.0201
   181    0.0490    0.6090     0.0379         -0.0111
   182    0.0340    0.4060     0.0049         -0.0291
   183    0.0410    0.6090     0.0089         -0.0321
   184    0.0950    1.0150     0.0509         -0.0441
   185    0.0420    0.4060     0.0169         -0.0251
   186    0.0830    1.0150     0.0429         -0.0401
   187    0.0470    0.4060     0.0109         -0.0361
   188    0.0410    0.8120     0.0169         -0.0241
   189    0.0860    0.6090     0.0439         -0.0421
   190    0.0870    0.8120     0.0449         -0.0421
   191    0.0340    0.6090     0.0109         -0.0231
   192    0.0690    0.8120     0.0359         -0.0331
   193    0.0630    0.8120     0.0149         -0.0481
   194    0.0720    0.6090     0.0479         -0.0241
   195    0.0340    0.6090     0.0099         -0.0241
   196    0.0240    0.8120     0.0129         -0.0111
   197    0.0240    0.4060     0.0079         -0.0161
   198    0.0530    0.8120     0.0259         -0.0271
   199    0.0630    1.4210     0.0389         -0.0241
   200    0.0200    0.6090     0.0169         -0.0031
   201    0.0200    0.8120     0.0039         -0.0161
   202    0.0310    0.6090     0.0159         -0.0151
   203    0.0290    0.6090     0.0039         -0.0251
   204    0.0550    0.6090     0.0299         -0.0251
   205    0.0150    0.4060     0.0029         -0.0121
   206    0.0420    0.4060     0.0159         -0.0261
   207    0.0890    1.0150     0.0349         -0.0541
   208    0.0650    0.6090     0.0109         -0.0541
   209    0.0810    1.0150     0.0429         -0.0381
   210    0.0430    1.4210     0.0099         -0.0331
   211    0.0250    0.6090     0.0029         -0.0221
   212    0.0850    0.6090     0.0509         -0.0341
   213    0.0560    0.6090     0.0219         -0.0341
   214    0.0840    1.0150     0.0429         -0.0411
   215    0.0640    0.8120     0.0229         -0.0411
   216    0.0270    0.4060     0.0139         -0.0131
   217    0.0320    0.8120     0.0129         -0.0191
   218    0.0370    0.6090     0.0179         -0.0191
   219    0.0580    0.6090     0.0199         -0.0381
   220    0.0710    1.6240     0.0329         -0.0381
   221    0.0510    1.0150     0.0199         -0.0311
   222    0.0620    0.4060     0.0179         -0.0441
   223    0.0830    1.2180     0.0389         -0.0441
   224    0.1010    1.6240     0.0569         -0.0441
   225    0.0930    0.8120     0.0469         -0.0461
   226    0.0650    1.4210     0.0229         -0.0421
   227    0.0570    1.0150     0.0169         -0.0401
   228    0.0620    1.0150     0.0359         -0.0261
   229    0.0910    0.8120     0.0329         -0.0581
   230    0.0500    0.6090     0.0309         -0.0191
   231    0.0450    0.8120     0.0129         -0.0321
   232    0.0720    1.2180     0.0379         -0.0341
   233    0.0670    1.4210     0.0409         -0.0261
   234    0.0940    1.0150     0.0479         -0.0461
   235    0.0360    0.6090     0.0109         -0.0251
   236    0.0670    0.8120     0.0229         -0.0441
   237    0.1150    1.2180     0.0709         -0.0441
   238    0.0230    0.8120     0.0189         -0.0041
   239    0.0280    1.0150     0.0029         -0.0251
   240    0.0790    0.8120     0.0389         -0.0401
   241    0.0870    1.4210     0.0329         -0.0541
   242    0.0530    0.8120     0.0279         -0.0251
   243    0.0490    0.6090     0.0139         -0.0351
   244    0.0520    0.8120     0.0169         -0.0351
   245    0.0290    0.6090     0.0009         -0.0281
   246    0.0350    0.6090     0.0069         -0.0281
   247    0.0610    0.8120     0.0289         -0.0321
   248    0.0410    0.6090     0.0249         -0.0161
   249    0.0520    1.2180     0.0279         -0.0241
   250    0.0820    0.6090     0.0459         -0.0361
   251    0.0410    0.6090     0.0049         -0.0361
   252    0.0830    1.0150     0.0469         -0.0361
   253    0.0390    0.4060     0.0129         -0.0261
   254    0.0650    0.6090     0.0489         -0.0161
   255    0.0350    0.8120     0.0189         -0.0161
   256    0.0740    0.8120     0.0329         -0.0411
   257    0.0730    1.8270     0.0319         -0.0411
   258    0.0430    0.4060     0.0249         -0.0181
   259    0.0270    0.8120     0.0069         -0.0201
   260    0.0160    0.4060     0.0049         -0.0111
   261    0.0760    0.8120     0.0279         -0.0481
   262    0.0570    1.0150     0.0179         -0.0391
   263    0.0710    1.0150     0.0389         -0.0321
   264    0.0650    1.0150     0.0329         -0.0321
   265    0.0490    0.8120     0.0329         -0.0161
   266    0.0560    0.8120     0.0109         -0.0451
   267    0.0660    1.0150     0.0339         -0.0321
   268    0.0480    0.6090     0.0259         -0.0221
   269    0.0400    0.8120     0.0009         -0.0391
   270    0.0680    1.2180     0.0419         -0.0261
   271    0.0670    1.2180     0.0409         -0.0261
   272    0.0450    0.6090     0.0189         -0.0261
   273    0.0180    1.2180     0.0049         -0.0131
   274    0.0730    0.6090     0.0329         -0.0401
   275    0.0760    0.8120     0.0349         -0.0411
   276    0.0850    1.0150     0.0369         -0.0481
   277    0.1010    1.0150     0.0529         -0.0481
   278    0.0590    0.8120     0.0249         -0.0341
   279    0.0680    0.8120     0.0359         -0.0321
   280    0.0630    0.6090     0.0239         -0.0391
   281    0.1070    0.8120     0.0679         -0.0391
   282    0.1010    0.6090     0.0579         -0.0431
   283    0.0940    1.0150     0.0409         -0.0531
   284    0.0880    1.4210     0.0349         -0.0531
   285    0.0650    0.6090     0.0409         -0.0241
   286    0.0730    0.4060     0.0269         -0.0461
   287    0.0790    1.0150     0.0329         -0.0461
   288    0.0660    1.2180     0.0369         -0.0291
   289    0.0650    0.8120     0.0269         -0.0381
   290    0.0700    1.0150     0.0399         -0.0301
   291    0.0710    0.8120     0.0409         -0.0301
   292    0.0530    0.8120     0.0149         -0.0381
   293    0.0880    1.0150     0.0519         -0.0361
   294    0.0300    0.4060     0.0169         -0.0131
   295    0.0480    0.6090     0.0349         -0.0131
   296    0.0420    1.0150     0.0149         -0.0271
   297    0.0500    0.4060     0.0179         -0.0321
   298    0.0650    0.4060     0.0329         -0.0321
   299    0.0250    0.6090     0.0029         -0.0221
   300    0.0540    0.8120     0.0219         -0.0321
   301    0.1100    1.0150     0.0629         -0.0471
   302    0.0750    1.0150     0.0369         -0.0381
   303    0.0560    0.8120     0.0179         -0.0381
   304    0.0450    1.0150     0.0149         -0.0301
   305    0.0310    0.6090     0.0069         -0.0241
   306    0.0380    1.0150     0.0119         -0.0261
   307    0.0210    1.0150     0.0049         -0.0161
   308    0.0400    1.2180     0.0159         -0.0241
   309    0.0270    0.8120     0.0069         -0.0201
   310    0.0550    1.0150     0.0189         -0.0361
   311    0.0530    1.0150     0.0209         -0.0321
   312    0.0550    0.6090     0.0079         -0.0471
   313    0.1020    1.0150     0.0489         -0.0531
   314    0.0870    1.2180     0.0389         -0.0481
   315    0.0620    0.8120     0.0249         -0.0371
   316    0.0250    0.8120     0.0089         -0.0161
   317    0.0230    1.0150     0.0089         -0.0141
   318    0.0520    0.6090     0.0019         -0.0501
   319    0.0810    0.8120     0.0309         -0.0501
   320    0.1260    0.8120     0.0689         -0.0571
   321    0.0680    1.0150     0.0339         -0.0341
   322    0.0320    0.6090     0.0059         -0.0261
   323    0.0760    1.0150     0.0319         -0.0441
   324    0.0690    0.8120     0.0359         -0.0331
   325    0.0720    1.0150     0.0309         -0.0411
   326    0.0800    1.0150     0.0429         -0.0371
   327    0.0340    1.0150     0.0209         -0.0131
   328    0.0350    1.0150     0.0059         -0.0291
   329    0.1290    1.0150     0.0569         -0.0721
   330    0.0890    1.0150     0.0499         -0.0391
   331    0.0610    0.8120     0.0289         -0.0321
   332    0.0610    0.6090     0.0369         -0.0241
   333    0.0560    0.8120     0.0259         -0.0301
   334    0.0930    0.8120     0.0279         -0.0651
   335    0.1510    1.0150     0.0749         -0.0761
   336    0.1120    0.8120     0.0649         -0.0471
   337    0.0780    1.2180     0.0309         -0.0471
   338    0.0790    0.6090     0.0419         -0.0371
   339    0.0730    0.8120     0.0359         -0.0371
   340    0.0880    1.0150     0.0469         -0.0411
   341    0.0710    1.2180     0.0329         -0.0381
   342    0.0710    0.6090     0.0329         -0.0381
   343    0.0430    0.6090     0.0069         -0.0361
   344    0.0560    1.0150     0.0199         -0.0361
   345    0.0540    1.2180     0.0179         -0.0361
   346    0.0810    0.8120     0.0559         -0.0251
   347    0.0310    0.6090     0.0029         -0.0281
   348    0.0320    0.6090     0.0039         -0.0281
   349    0.0700    0.6090     0.0419         -0.0281
   350    0.0330    0.6090     0.0049         -0.0281
   351    0.0600    0.6090     0.0219         -0.0381
   352    0.0690    0.8120     0.0309         -0.0381
   353    0.0730    1.2180     0.0229         -0.0501
   354    0.0370    0.6090     0.0139         -0.0231
   355    0.0980    0.8120     0.0679         -0.0301
   356    0.0350    1.0150     0.0049         -0.0301
   357    0.0570    0.6090     0.0259         -0.0311
   358    0.1040    1.0150     0.0479         -0.0561
   359    0.0750    0.8120     0.0319         -0.0431
   360    0.0310    1.0150     0.0109         -0.0201
   361    0.0360    1.0150     0.0099         -0.0261
   362    0.0740    1.2180     0.0289         -0.0451
   363    0.0470    0.8120     0.0089         -0.0381
   364    0.0580    0.6090     0.0349         -0.0231
   365    0.0410    0.6090     0.0179         -0.0231
   366    0.0250    0.8120     0.0009         -0.0241
   367    0.0490    1.0150     0.0169         -0.0321
   368    0.0470    0.8120     0.0159         -0.0311
   369    0.0900    1.4210     0.0369         -0.0531
   370    0.0530    0.6090     0.0199         -0.0331
   371    0.0730    0.8120     0.0389         -0.0341
   372    0.0770    0.6090     0.0409         -0.0361
   373    0.1040    1.0150     0.0459         -0.0581
   374    0.0680    1.4210     0.0319         -0.0361
   375    0.0760    1.0150     0.0379         -0.0381
   376    0.0240    0.6090     0.0069         -0.0171
   377    0.0120    0.4060     0.0009         -0.0111
   378    0.0350    0.6090     0.0259         -0.0091
   379    0.0290    1.0150     0.0009         -0.0281
   380    0.1000    0.8120     0.0329         -0.0671
   381    0.1350    0.8120     0.0679         -0.0671
   382    0.0880    1.0150     0.0369         -0.0511
   383    0.0980    0.8120     0.0479         -0.0501
   384    0.0870    1.0150     0.0369         -0.0501
   385    0.0600    0.8120     0.0169         -0.0431
   386    0.0760    1.4210     0.0329         -0.0431
   387    0.0860    1.0150     0.0379         -0.0481
   388    0.1070    0.8120     0.0589         -0.0481
   389    0.0890    0.8120     0.0499         -0.0391
   390    0.0560    0.8120     0.0379         -0.0181
   391    0.0110    0.4060     0.0029         -0.0081
   392    0.0200    0.6090     0.0089         -0.0111
   393    0.0420    0.6090     0.0139         -0.0281
   394    0.1040    0.8120     0.0529         -0.0511
   395    0.0720    0.8120     0.0459         -0.0261
   396    0.0970    0.8120     0.0459         -0.0511
   397    0.1170    1.0150     0.0709         -0.0461
   398    0.0810    1.4210     0.0469         -0.0341
   399    0.0450    0.6090     0.0229         -0.0221
   400    0.0410    0.8120     0.0149         -0.0261
   401    0.0570    1.4210     0.0299         -0.0271
   402    0.1490    1.0150     0.0689         -0.0801
   403    0.0350    0.6090     0.0299         -0.0051
   404    0.0500    0.8120     0.0059         -0.0441
   405    0.1250    0.8120     0.0529         -0.0721
   406    0.1720    1.0150     0.0999         -0.0721
   407    0.0680    1.0150     0.0389         -0.0291
   408    0.0470    1.0150     0.0129         -0.0341
   409    0.0500    0.8120     0.0319         -0.0181
   410    0.0370    0.8120     0.0189         -0.0181
   411    0.0330    0.6090     0.0089         -0.0241
   412    0.0400    0.6090     0.0059         -0.0341
   413    0.0470    0.8120     0.0129         -0.0341
   414    0.0380    1.0150     0.0109         -0.0271
   415    0.0590    0.8120     0.0349         -0.0241
   416    0.1060    1.0150     0.0289         -0.0771
   417    0.0980    0.8120     0.0579         -0.0401
   418    0.0730    1.0150     0.0329         -0.0401
   419    0.0380    1.2180     0.0009         -0.0371
   420    0.0780    1.0150     0.0479         -0.0301
   421    0.0260    1.0150     0.0079         -0.0181
   422    0.0340    0.6090     0.0069         -0.0271
   423    0.0600    1.2180     0.0329         -0.0271
   424    0.0390    1.0150     0.0029         -0.0361
   425    0.0580    0.8120     0.0379         -0.0201
   426    0.0460    0.8120     0.0189         -0.0271
   427    0.0290    0.8120     0.0019         -0.0271
   428    0.0830    0.8120     0.0439         -0.0391
   429    0.0420    1.4210     0.0029         -0.0391
   430    0.0670    1.0150     0.0349         -0.0321
   431    0.0210    1.0150     0.0009         -0.0201
   432    0.0790    1.2180     0.0519         -0.0271
   433    0.0810    1.0150     0.0359         -0.0451
   434    0.0420    0.6090     0.0289         -0.0131
   435    0.0710    0.8120     0.0159         -0.0551
   436    0.0830    1.4210     0.0389         -0.0441
   437    0.0770    1.0150     0.0289         -0.0481
   438    0.0810    1.0150     0.0329         -0.0481
   439    0.0800    0.8120     0.0319         -0.0481
   440    0.0860    1.0150     0.0429         -0.0431
   441    0.0610    0.6090     0.0179         -0.0431
   442    0.0260    0.6090     0.0059         -0.0201
   443    0.1090    1.0150     0.0449         -0.0641
   444    0.1640    1.0150     0.0999         -0.0641
   445    0.0570    1.0150     0.0319         -0.0251
   446    0.0490    0.4060     0.0249         -0.0241
   447    0.0710    0.6090     0.0309         -0.0401
   448    0.0500    0.6090     0.0099         -0.0401
   449    0.0660    1.2180     0.0389         -0.0271
   450    0.0390    1.0150     0.0109         -0.0281
   451    0.2020    0.8120     0.1209         -0.0811
   452    0.1560    1.4210     0.0749         -0.0811
   453    0.0530    0.8120     0.0199         -0.0331
   454    0.0720    0.8120     0.0359         -0.0361
   455    0.0570    0.8120     0.0229         -0.0341
   456    0.0910    1.4210     0.0569         -0.0341
   457    0.1210    0.8120     0.0639         -0.0571
   458    0.1470    1.0150     0.0629         -0.0841
   459    0.1040    1.2180     0.0599         -0.0441
   460    0.0240    0.8120     0.0079         -0.0161
   461    0.0350    0.8120     0.0159         -0.0191
   462    0.0680    0.6090     0.0359         -0.0321
   463    0.0550    0.4060     0.0229         -0.0321
   464    0.0410    0.4060     0.0089         -0.0321
   465    0.0450    1.2180     0.0129         -0.0321
   466    0.0210    1.0150     0.0029         -0.0181
   467    0.0430    1.0150     0.0249         -0.0181
   468    0.0300    0.8120     0.0079         -0.0221
   469    0.0250    0.4060     0.0029         -0.0221
   470    0.0700    0.8120     0.0409         -0.0291
   471    0.0690    1.0150     0.0399         -0.0291
   472    0.0510    0.8120     0.0129         -0.0381
   473    0.0550    0.6090     0.0349         -0.0201
   474    0.0560    0.8120     0.0209         -0.0351
   475    0.0710    1.2180     0.0429         -0.0281
   476    0.0400    0.8120     0.0209         -0.0191
   477    0.0200    0.6090     0.0019         -0.0181
   478    0.0670    0.8120     0.0329         -0.0341
