 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: g1-f203.in  
  NUMBER OF POINTS IN SERIES:         3952
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    802.0530      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   117    0.0169    2.0300     0.0049         -0.0120
   118    0.0132    1.8270     0.0022         -0.0109
   119    0.0118    2.0300     0.0054         -0.0064
   120    0.0160    2.4360     0.0062         -0.0098
   121    0.0065    1.6240     0.0028         -0.0037
   122    0.0077    1.6240     0.0040         -0.0037
   123    0.0147    6.4960     0.0050         -0.0097
   124    0.0062    3.2480     0.0054         -0.0008
   125    0.0145    3.8570     0.0007         -0.0138
   126    0.0260    6.2930     0.0142         -0.0118
   127    0.0064    2.4360     0.0051         -0.0013
   128    0.0139    3.8570     0.0052         -0.0087
   129    0.0074    2.0300     0.0037         -0.0036
   130    0.0147    3.2480     0.0085         -0.0062
   131    0.0161    3.2480     0.0081         -0.0081
   132    0.0219    3.6540     0.0085         -0.0134
   133    0.0201    3.8570     0.0148         -0.0053
   134    0.0295    2.8420     0.0181         -0.0113
   135    0.0106    1.4210     0.0014         -0.0092
   136    0.0234    1.8270     0.0095         -0.0138
   137    0.0369    3.6540     0.0158         -0.0211
   138    0.0174    1.4210     0.0091         -0.0084
   139    0.0285    3.8570     0.0173         -0.0112
   140    0.0155    2.6390     0.0095         -0.0059
   141    0.0249    3.4510     0.0123         -0.0126
   142    0.0284    2.6390     0.0082         -0.0203
   143    0.0667    3.2480     0.0259         -0.0408
   144    0.1381    3.0450     0.0596         -0.0786
   145    0.2060    3.0450     0.0981         -0.1079
