 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: g1-nf203.in 
  NUMBER OF POINTS IN SERIES:         3952
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    802.0530      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   117    0.0240    0.4060     0.0040         -0.0200
   118    0.0830    1.0150     0.0300         -0.0530
   119    0.0960    1.2180     0.0470         -0.0490
   120    0.0840    1.4210     0.0230         -0.0610
   121    0.1280    1.2180     0.0670         -0.0610
   122    0.0610    1.2180     0.0300         -0.0310
   123    0.1190    1.0150     0.0760         -0.0430
   124    0.0780    1.0150     0.0470         -0.0310
   125    0.0430    0.8120     0.0260         -0.0170
   126    0.0240    1.0150     0.0100         -0.0140
   127    0.0450    0.6090     0.0290         -0.0160
   128    0.0410    0.6090     0.0260         -0.0150
   129    0.0330    0.8120     0.0090         -0.0240
   130    0.0680    1.4210     0.0350         -0.0330
   131    0.1000    0.6090     0.0480         -0.0520
   132    0.0610    0.6090     0.0090         -0.0520
   133    0.0150    0.4060     0.0000         -0.0150
   134    0.0340    0.6090     0.0170         -0.0170
   135    0.0370    0.8120     0.0200         -0.0170
   136    0.0800    0.8120     0.0510         -0.0290
   137    0.0730    1.0150     0.0390         -0.0340
   138    0.1000    0.8120     0.0560         -0.0440
   139    0.0660    1.0150     0.0390         -0.0270
   140    0.0970    1.0150     0.0480         -0.0490
   141    0.0760    1.0150     0.0270         -0.0490
   142    0.0480    1.2180     0.0130         -0.0350
   143    0.0760    1.2180     0.0290         -0.0470
   144    0.0590    0.8120     0.0350         -0.0240
   145    0.0640    0.8120     0.0190         -0.0450
   146    0.0680    1.0150     0.0230         -0.0450
   147    0.0610    0.6090     0.0360         -0.0250
   148    0.0310    0.8120     0.0060         -0.0250
   149    0.1010    1.2180     0.0530         -0.0480
   150    0.0840    0.8120     0.0440         -0.0400
   151    0.0510    1.0150     0.0110         -0.0400
   152    0.0620    0.6090     0.0240         -0.0380
   153    0.0870    1.0150     0.0490         -0.0380
   154    0.0860    0.8120     0.0380         -0.0480
   155    0.0790    1.2180     0.0430         -0.0360
   156    0.0880    1.0150     0.0280         -0.0600
   157    0.0910    1.0150     0.0530         -0.0380
   158    0.0690    1.0150     0.0320         -0.0370
   159    0.0420    1.2180     0.0250         -0.0170
   160    0.0740    1.0150     0.0360         -0.0380
   161    0.0510    1.0150     0.0280         -0.0230
   162    0.0430    0.4060     0.0330         -0.0100
   163    0.0320    0.4060     0.0090         -0.0230
   164    0.0900    0.8120     0.0450         -0.0450
   165    0.1140    1.0150     0.0570         -0.0570
   166    0.0740    1.0150     0.0290         -0.0450
   167    0.0920    1.0150     0.0450         -0.0470
   168    0.0920    1.2180     0.0450         -0.0470
   169    0.0950    1.0150     0.0560         -0.0390
   170    0.1060    1.4210     0.0460         -0.0600
   171    0.0620    1.0150     0.0360         -0.0260
   172    0.0670    1.2180     0.0350         -0.0320
   173    0.0650    0.8120     0.0380         -0.0270
   174    0.0440    0.6090     0.0240         -0.0200
   175    0.0770    0.8120     0.0350         -0.0420
   176    0.0790    1.0150     0.0360         -0.0430
   177    0.0590    0.8120     0.0180         -0.0410
   178    0.0730    1.0150     0.0270         -0.0460
   179    0.1370    1.2180     0.0770         -0.0600
   180    0.0410    1.4210     0.0240         -0.0170
   181    0.0420    0.6090     0.0270         -0.0150
   182    0.0340    0.6090     0.0080         -0.0260
   183    0.1030    1.0150     0.0450         -0.0580
   184    0.0760    1.0150     0.0180         -0.0580
   185    0.0260    0.4060     0.0090         -0.0170
   186    0.0840    1.0150     0.0410         -0.0430
   187    0.0670    1.2180     0.0310         -0.0360
   188    0.0820    1.2180     0.0570         -0.0250
   189    0.0550    1.0150     0.0330         -0.0220
   190    0.0250    0.4060     0.0080         -0.0170
   191    0.0310    1.4210     0.0060         -0.0250
   192    0.0770    0.6090     0.0320         -0.0450
   193    0.0640    1.2180     0.0190         -0.0450
   194    0.0740    1.0150     0.0300         -0.0440
   195    0.1140    0.8120     0.0500         -0.0640
   196    0.1050    1.0150     0.0600         -0.0450
   197    0.0670    1.0150     0.0350         -0.0320
   198    0.0230    0.4060     0.0110         -0.0120
   199    0.0600    1.0150     0.0250         -0.0350
   200    0.1070    1.0150     0.0570         -0.0500
   201    0.0570    1.2180     0.0350         -0.0220
   202    0.0380    0.6090     0.0330         -0.0050
   203    0.0050    0.4060     0.0000         -0.0050
   204    0.0390    1.0150     0.0060         -0.0330
   205    0.1150    1.2180     0.0720         -0.0430
   206    0.0870    1.2180     0.0450         -0.0420
   207    0.0680    1.0150     0.0230         -0.0450
   208    0.0820    1.2180     0.0340         -0.0480
   209    0.1320    1.0150     0.0720         -0.0600
   210    0.0820    1.2180     0.0450         -0.0370
   211    0.0700    0.8120     0.0380         -0.0320
   212    0.0890    1.2180     0.0410         -0.0480
   213    0.0640    0.6090     0.0320         -0.0320
   214    0.0660    1.0150     0.0340         -0.0320
   215    0.0550    1.0150     0.0260         -0.0290
   216    0.0530    1.0150     0.0310         -0.0220
   217    0.1280    1.0150     0.0540         -0.0740
   218    0.1090    1.2180     0.0660         -0.0430
   219    0.0890    0.8120     0.0580         -0.0310
   220    0.0580    0.8120     0.0260         -0.0320
   221    0.0640    1.0150     0.0320         -0.0320
   222    0.0730    1.0150     0.0450         -0.0280
   223    0.0430    0.8120     0.0060         -0.0370
   224    0.0720    0.8120     0.0430         -0.0290
   225    0.0440    0.4060     0.0240         -0.0200
   226    0.1170    0.8120     0.0620         -0.0550
   227    0.0840    1.0150     0.0290         -0.0550
   228    0.0240    0.4060     0.0010         -0.0230
   229    0.0480    0.6090     0.0190         -0.0290
   230    0.0730    1.4210     0.0240         -0.0490
   231    0.1650    1.0150     0.1000         -0.0650
   232    0.0900    1.2180     0.0440         -0.0460
   233    0.0950    1.0150     0.0480         -0.0470
   234    0.0900    1.0150     0.0390         -0.0510
   235    0.0780    0.8120     0.0270         -0.0510
   236    0.0520    1.2180     0.0310         -0.0210
   237    0.0630    1.0150     0.0360         -0.0270
   238    0.0680    1.2180     0.0310         -0.0370
   239    0.0970    1.2180     0.0580         -0.0390
   240    0.0680    1.4210     0.0410         -0.0270
   241    0.0590    1.4210     0.0240         -0.0350
   242    0.0760    1.0150     0.0470         -0.0290
   243    0.0320    0.8120     0.0090         -0.0230
   244    0.0080    0.6090     0.0050         -0.0030
   245    0.0350    1.0150     0.0190         -0.0160
   246    0.0760    1.6240     0.0270         -0.0490
   247    0.0900    1.0150     0.0580         -0.0320
   248    0.0410    0.6090     0.0250         -0.0160
   249    0.0270    1.0150     0.0120         -0.0150
   250    0.0600    0.8120     0.0240         -0.0360
   251    0.1150    1.0150     0.0680         -0.0470
   252    0.0690    1.2180     0.0310         -0.0380
   253    0.0210    0.6090     0.0070         -0.0140
   254    0.0310    1.0150     0.0020         -0.0290
   255    0.0410    1.2180     0.0270         -0.0140
   256    0.0340    1.8270     0.0200         -0.0140
   257    0.0650    1.0150     0.0340         -0.0310
   258    0.0490    0.8120     0.0370         -0.0120
   259    0.0160    0.4060     0.0040         -0.0120
   260    0.0650    1.2180     0.0380         -0.0270
   261    0.0430    1.0150     0.0210         -0.0220
   262    0.0420    1.0150     0.0120         -0.0300
   263    0.0840    1.4210     0.0580         -0.0260
   264    0.0690    1.6240     0.0350         -0.0340
   265    0.0680    1.0150     0.0410         -0.0270
   266    0.0370    1.0150     0.0120         -0.0250
   267    0.0640    1.2180     0.0330         -0.0310
   268    0.0970    1.6240     0.0320         -0.0650
   269    0.1420    1.2180     0.0790         -0.0630
   270    0.1130    1.2180     0.0680         -0.0450
   271    0.0410    0.8120     0.0160         -0.0250
   272    0.0920    1.2180     0.0400         -0.0520
   273    0.1020    1.0150     0.0570         -0.0450
   274    0.0830    1.2180     0.0380         -0.0450
   275    0.0430    1.0150     0.0030         -0.0400
   276    0.0470    0.6090     0.0240         -0.0230
   277    0.0310    0.8120     0.0080         -0.0230
   278    0.0300    1.2180     0.0130         -0.0170
   279    0.0620    1.2180     0.0350         -0.0270
   280    0.0990    1.4210     0.0350         -0.0640
   281    0.1830    1.0150     0.0990         -0.0840
   282    0.1170    1.2180     0.0550         -0.0620
   283    0.0780    1.2180     0.0290         -0.0490
   284    0.1010    1.0150     0.0480         -0.0530
   285    0.0900    1.2180     0.0610         -0.0290
   286    0.0500    1.2180     0.0310         -0.0190
   287    0.0510    1.0150     0.0190         -0.0320
   288    0.0620    1.4210     0.0180         -0.0440
   289    0.0440    0.8120     0.0240         -0.0200
   290    0.1100    0.8120     0.0590         -0.0510
   291    0.0840    1.0150     0.0540         -0.0300
   292    0.0700    0.8120     0.0440         -0.0260
   293    0.0610    1.0150     0.0350         -0.0260
   294    0.0460    1.4210     0.0250         -0.0210
   295    0.0510    0.8120     0.0220         -0.0290
   296    0.0660    0.6090     0.0310         -0.0350
   297    0.0620    1.4210     0.0270         -0.0350
   298    0.0700    1.0150     0.0360         -0.0340
   299    0.0470    1.2180     0.0260         -0.0210
   300    0.0820    1.0150     0.0470         -0.0350
   301    0.1090    1.0150     0.0490         -0.0600
   302    0.0960    1.0150     0.0500         -0.0460
   303    0.0700    1.4210     0.0240         -0.0460
   304    0.0370    0.6090     0.0250         -0.0120
   305    0.0380    0.8120     0.0220         -0.0160
   306    0.0890    1.0150     0.0490         -0.0400
   307    0.1130    1.2180     0.0530         -0.0600
   308    0.0980    0.8120     0.0610         -0.0370
   309    0.0720    1.4210     0.0320         -0.0400
   310    0.1490    1.0150     0.0840         -0.0650
   311    0.0850    0.8120     0.0380         -0.0470
   312    0.0550    0.6090     0.0160         -0.0390
   313    0.0990    1.0150     0.0640         -0.0350
   314    0.0430    0.8120     0.0170         -0.0260
   315    0.0340    0.8120     0.0080         -0.0260
   316    0.0990    0.8120     0.0360         -0.0630
   317    0.0920    0.8120     0.0290         -0.0630
   318    0.0500    1.0150     0.0200         -0.0300
   319    0.0360    0.8120     0.0150         -0.0210
   320    0.1140    1.0150     0.0460         -0.0680
   321    0.1460    1.2180     0.0780         -0.0680
   322    0.0790    1.0150     0.0400         -0.0390
   323    0.0560    1.2180     0.0220         -0.0340
   324    0.1360    1.0150     0.0750         -0.0610
   325    0.0970    1.0150     0.0680         -0.0290
   326    0.0270    0.8120     0.0180         -0.0090
   327    0.0900    0.8120     0.0380         -0.0520
   328    0.0600    0.8120     0.0390         -0.0210
   329    0.0460    0.4060     0.0250         -0.0210
   330    0.0460    1.0150     0.0190         -0.0270
   331    0.0340    0.8120     0.0200         -0.0140
   332    0.0220    0.4060     0.0090         -0.0130
   333    0.0700    0.8120     0.0470         -0.0230
   334    0.0400    0.6090     0.0090         -0.0310
   335    0.0400    1.0150     0.0090         -0.0310
   336    0.0480    1.0150     0.0240         -0.0240
   337    0.0210    0.6090     0.0060         -0.0150
   338    0.0530    0.6090     0.0220         -0.0310
   339    0.0620    0.8120     0.0060         -0.0560
   340    0.0920    0.8120     0.0650         -0.0270
   341    0.1390    1.4210     0.0800         -0.0590
   342    0.0740    1.0150     0.0150         -0.0590
   343    0.1640    3.0450     0.0830         -0.0810
   344    0.2500    3.0450     0.1410         -0.1090
   345    0.2850    2.8420     0.1400         -0.1450
   346    0.2390    3.0450     0.1180         -0.1210
   347    0.1960    2.4360     0.1340         -0.0620
   348    0.2470    2.4360     0.1250         -0.1220
   349    0.2700    2.6390     0.1480         -0.1220
   350    0.3410    2.4360     0.1790         -0.1620
   351    0.3660    2.6390     0.2490         -0.1170
   352    0.2530    2.4360     0.1460         -0.1070
   353    0.2840    2.4360     0.1480         -0.1360
   354    0.2570    2.4360     0.1590         -0.0980
   355    0.1920    2.2330     0.1000         -0.0920
   356    0.2190    2.4360     0.1370         -0.0820
   357    0.2300    2.2330     0.1140         -0.1160
   358    0.1850    2.4360     0.1020         -0.0830
   359    0.2170    2.0300     0.1200         -0.0970
   360    0.1740    1.0150     0.1030         -0.0710
   361    0.0790    1.2180     0.0110         -0.0680
   362    0.1760    1.4210     0.0820         -0.0940
   363    0.2100    2.4360     0.0990         -0.1110
   364    0.2020    2.4360     0.1110         -0.0910
   365    0.1820    1.8270     0.0940         -0.0880
   366    0.1660    2.2330     0.0710         -0.0950
   367    0.0950    2.0300     0.0550         -0.0400
   368    0.1180    1.0150     0.0980         -0.0200
   369    0.1240    0.8120     0.0050         -0.1190
   370    0.1400    1.6240     0.0780         -0.0620
   371    0.0370    0.4060     0.0060         -0.0310
   372    0.0500    0.6090     0.0150         -0.0350
   373    0.0760    1.4210     0.0260         -0.0500
   374    0.1700    1.8270     0.0700         -0.1000
   375    0.0520    1.2180     0.0450         -0.0070
   376    0.1270    1.0150     0.0360         -0.0910
   377    0.1980    1.4210     0.1290         -0.0690
   378    0.0430    0.8120     0.0060         -0.0370
   379    0.1500    2.0300     0.0920         -0.0580
   380    0.0680    1.2180     0.0320         -0.0360
   381    0.0670    1.2180     0.0430         -0.0240
   382    0.0300    0.4060     0.0060         -0.0240
   383    0.0410    1.0150     0.0170         -0.0240
   384    0.1070    1.2180     0.0360         -0.0710
   385    0.1380    1.0150     0.0670         -0.0710
   386    0.0560    0.8120     0.0130         -0.0430
   387    0.0920    0.6090     0.0490         -0.0430
   388    0.1230    1.6240     0.0340         -0.0890
   389    0.0740    1.2180     0.0350         -0.0390
   390    0.1410    1.6240     0.0690         -0.0720
   391    0.1300    2.4360     0.0480         -0.0820
   392    0.1620    1.8270     0.0850         -0.0770
   393    0.1160    1.8270     0.0770         -0.0390
   394    0.0450    0.8120     0.0060         -0.0390
   395    0.0660    1.4210     0.0430         -0.0230
   396    0.0320    0.8120     0.0090         -0.0230
   397    0.1170    1.8270     0.0590         -0.0580
   398    0.1010    0.8120     0.0920         -0.0090
   399    0.0500    1.2180     0.0210         -0.0290
   400    0.1290    1.2180     0.0550         -0.0740
   401    0.0860    1.4210     0.0490         -0.0370
   402    0.1290    0.8120     0.0680         -0.0610
   403    0.1310    1.0150     0.0440         -0.0870
   404    0.1800    0.8120     0.0930         -0.0870
   405    0.1920    1.4210     0.0630         -0.1290
   406    0.1590    2.4360     0.0680         -0.0910
   407    0.1230    2.0300     0.0790         -0.0440
   408    0.1060    1.4210     0.0630         -0.0430
   409    0.0770    0.8120     0.0190         -0.0580
   410    0.1300    1.4210     0.0600         -0.0700
   411    0.1000    1.0150     0.0750         -0.0250
   412    0.0930    0.8120     0.0450         -0.0480
   413    0.0580    1.0150     0.0100         -0.0480
   414    0.0480    1.2180     0.0260         -0.0220
   415    0.0330    0.8120     0.0110         -0.0220
   416    0.0200    0.6090     0.0100         -0.0100
   417    0.0540    0.8120     0.0190         -0.0350
   418    0.0970    1.0150     0.0430         -0.0540
   419    0.0980    1.2180     0.0330         -0.0650
   420    0.0770    1.4210     0.0400         -0.0370
   421    0.0460    0.8120     0.0200         -0.0260
   422    0.0820    1.0150     0.0370         -0.0450
   423    0.1140    1.6240     0.0560         -0.0580
   424    0.2820    1.0150     0.1770         -0.1050
   425    0.1700    1.2180     0.1010         -0.0690
   426    0.1080    1.4210     0.0680         -0.0400
   427    0.0560    0.6090     0.0280         -0.0280
   428    0.1120    1.2180     0.0520         -0.0600
   429    0.0610    1.2180     0.0190         -0.0420
   430    0.1000    1.0150     0.0260         -0.0740
   431    0.1480    0.8120     0.0740         -0.0740
   432    0.0700    1.4210     0.0290         -0.0410
   433    0.1000    1.0150     0.0510         -0.0490
   434    0.0830    1.0150     0.0370         -0.0460
   435    0.0970    1.4210     0.0510         -0.0460
   436    0.0910    1.2180     0.0400         -0.0510
   437    0.0580    0.8120     0.0220         -0.0360
   438    0.2610    1.4210     0.1410         -0.1200
   439    0.1750    1.8270     0.0930         -0.0820
   440    0.2890    1.6240     0.1740         -0.1150
   441    0.1610    1.8270     0.0830         -0.0780
