 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: gA-f203.in  
  NUMBER OF POINTS IN SERIES:         9491
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    1926.470      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   117    0.0040    1.6240     0.0026         -0.0015
   118    0.0066    5.2780     0.0034         -0.0032
   119    0.0050    3.4510     0.0023         -0.0026
   120    0.0043    2.8420     0.0013         -0.0029
   121    0.0040    1.6240     0.0033         -0.0008
   122    0.0049    2.2330     0.0020         -0.0029
   123    0.0033    1.4210     0.0009         -0.0024
   124    0.0049    2.0300     0.0031         -0.0019
   125    0.0041    4.2630     0.0023         -0.0018
   126    0.0029    1.8270     0.0010         -0.0019
   127    0.0070    2.2330     0.0036         -0.0033
   128    0.0064    2.6390     0.0038         -0.0027
   129    0.0035    1.8270     0.0013         -0.0022
   130    0.0053    1.8270     0.0019         -0.0034
   131    0.0079    1.8270     0.0035         -0.0044
   132    0.0049    1.6240     0.0034         -0.0015
   133    0.0042    1.8270     0.0025         -0.0017
   134    0.0030    2.0300     0.0016         -0.0014
   135    0.0008    1.0150     0.0003         -0.0005
   136    0.0056    2.4360     0.0026         -0.0031
   137    0.0034    1.8270     0.0020         -0.0015
   138    0.0042    3.2480     0.0030         -0.0012
   139    0.0033    1.8270     0.0025         -0.0008
   140    0.0048    3.2480     0.0041         -0.0007
   141    0.0019    1.8270     0.0003         -0.0015
   142    0.0036    4.8720     0.0027         -0.0010
   143    0.0069    3.8570     0.0060         -0.0009
   144    0.0030    1.4210     0.0027         -0.0003
   145    0.0071    2.2330     0.0039         -0.0032
   146    0.0025    1.4210     0.0018         -0.0007
   147    0.0022    1.4210     0.0016         -0.0006
   148    0.0046    2.0300     0.0039         -0.0006
   149    0.0021    1.6240     0.0017         -0.0004
   150    0.0075   13.1950     0.0010         -0.0065
   151    0.0119    5.6840     0.0016         -0.0103
   152    0.0008    0.6090     0.0001         -0.0007
   153    0.0122    5.4810     0.0102         -0.0020
   154    0.0075    2.2330     0.0064         -0.0011
   155    0.0133    5.8870     0.0023         -0.0110
   156    0.0215    5.4810     0.0145         -0.0070
   157    0.0271    3.6540     0.0098         -0.0173
   158    0.0170    3.4510     0.0120         -0.0050
   159    0.0091    1.8270     0.0026         -0.0065
   160    0.0173    3.6540     0.0074         -0.0099
   161    0.0114    1.8270     0.0072         -0.0042
   162    0.0341    5.2780     0.0169         -0.0172
   163    0.0230    4.0600     0.0120         -0.0110
   164    0.0168    3.0450     0.0106         -0.0062
   165    0.0266    2.2330     0.0055         -0.0211
   166    0.0876    2.6390     0.0381         -0.0495
   167    0.1067    2.6390     0.0545         -0.0522
   168    0.0984    2.2330     0.0499         -0.0484
   169    0.2227    2.2330     0.0753         -0.1474
   170    0.5546    2.4360     0.2448         -0.3098
   171    0.5461    2.2330     0.3055         -0.2407
   172    0.2828    2.4360     0.1729         -0.1099
   173    0.1605    2.6390     0.0784         -0.0821
   174    0.0903    2.2330     0.0632         -0.0272
   175    0.0318    1.8270     0.0140         -0.0178
   176    0.0362    3.4510     0.0138         -0.0224
   177    0.0532    2.0300     0.0321         -0.0211
   178    0.0397    1.8270     0.0170         -0.0228
   179    0.0176    1.2180     0.0086         -0.0090
   180    0.0468    2.4360     0.0180         -0.0287
   181    0.0284    1.8270     0.0201         -0.0082
   182    0.0314    2.0300     0.0125         -0.0189
   183    0.0433    2.0300     0.0217         -0.0215
   184    0.0337    3.0450     0.0169         -0.0167
   185    0.0598    2.2330     0.0246         -0.0352
   186    0.0440    1.8270     0.0282         -0.0158
   187    0.0334    1.6240     0.0102         -0.0232
   188    0.0500    2.2330     0.0275         -0.0226
   189    0.0320    2.0300     0.0151         -0.0169
   190    0.0649    2.0300     0.0269         -0.0380
   191    0.0675    2.0300     0.0380         -0.0295
   192    0.0595    1.8270     0.0269         -0.0326
   193    0.0493    3.2480     0.0223         -0.0270
   194    0.0709    2.0300     0.0356         -0.0353
   195    0.0341    2.0300     0.0213         -0.0128
   196    0.0384    2.4360     0.0147         -0.0238
   197    0.0535    2.4360     0.0278         -0.0257
   198    0.0582    2.6390     0.0175         -0.0406
   199    0.0906    2.4360     0.0504         -0.0402
   200    0.0357    2.6390     0.0162         -0.0194
   201    0.0432    2.0300     0.0206         -0.0226
   202    0.0538    2.2330     0.0280         -0.0258
   203    0.0585    2.2330     0.0252         -0.0333
   204    0.0899    2.2330     0.0435         -0.0465
   205    0.0547    1.8270     0.0342         -0.0205
   206    0.0565    1.8270     0.0212         -0.0353
   207    0.0998    2.2330     0.0467         -0.0531
   208    0.0997    2.0300     0.0504         -0.0493
   209    0.1123    1.8270     0.0534         -0.0589
   210    0.1382    2.0300     0.0654         -0.0728
   211    0.1256    2.2330     0.0684         -0.0572
   212    0.0911    2.0300     0.0475         -0.0436
   213    0.0905    1.8270     0.0500         -0.0405
   214    0.0698    1.6240     0.0314         -0.0384
   215    0.1310    2.0300     0.0576         -0.0734
   216    0.1212    1.8270     0.0674         -0.0538
   217    0.1342    1.8270     0.0585         -0.0756
   218    0.1641    1.8270     0.0817         -0.0824
   219    0.1555    2.0300     0.0816         -0.0739
   220    0.1290    2.0300     0.0684         -0.0607
   221    0.1260    1.8270     0.0573         -0.0687
   222    0.1527    1.8270     0.0755         -0.0772
   223    0.1528    1.8270     0.0758         -0.0770
   224    0.1585    2.0300     0.0846         -0.0739
   225    0.0988    1.6240     0.0580         -0.0407
   226    0.0817    1.8270     0.0404         -0.0413
   227    0.0430    1.6240     0.0292         -0.0138
   228    0.0238    1.4210     0.0065         -0.0173
   229    0.0723    2.0300     0.0363         -0.0360
   230    0.0383    1.4210     0.0224         -0.0158
   231    0.0397    1.6240     0.0171         -0.0226
   232    0.0574    1.8270     0.0276         -0.0298
   233    0.0535    1.6240     0.0311         -0.0225
   234    0.0573    1.8270     0.0210         -0.0363
   235    0.0913    1.8270     0.0435         -0.0477
   236    0.0639    1.6240     0.0353         -0.0287
   237    0.0430    1.8270     0.0227         -0.0203
   238    0.0369    1.4210     0.0181         -0.0188
   239    0.0603    1.8270     0.0294         -0.0309
   240    0.0601    2.0300     0.0311         -0.0290
   241    0.0353    1.8270     0.0230         -0.0123
   242    0.0065    1.2180     0.0032         -0.0033
   243    0.0086    1.6240     0.0048         -0.0038
   244    0.0127    1.6240     0.0084         -0.0043
   245    0.0271    2.0300     0.0114         -0.0157
   246    0.0231    2.8420     0.0114         -0.0118
   247    0.0156    1.6240     0.0102         -0.0054
   248    0.0196    1.8270     0.0068         -0.0127
   249    0.0319    1.8270     0.0147         -0.0172
   250    0.0241    3.2480     0.0148         -0.0093
   251    0.0336    1.8270     0.0171         -0.0165
   252    0.0352    1.8270     0.0179         -0.0173
   253    0.0371    2.0300     0.0174         -0.0198
   254    0.0319    2.0300     0.0155         -0.0164
   255    0.0305    2.2330     0.0154         -0.0151
   256    0.0184    1.8270     0.0104         -0.0080
   257    0.0217    2.0300     0.0089         -0.0128
   258    0.0280    2.6390     0.0136         -0.0145
   259    0.0321    2.0300     0.0178         -0.0143
   260    0.0197    1.8270     0.0115         -0.0082
   261    0.0221    1.8270     0.0082         -0.0139
   262    0.0223    2.0300     0.0141         -0.0083
   263    0.0095    1.6240     0.0035         -0.0060
